# table produced by DamageProfiler
# using mapped file ScA005_SCR_007.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
# Sample ID: ScA005_SCR_007.BuffaloCape_Human_nc.Target.rmdup.noMicro.bam
pos	5pC>T
1	0.03970932659718242
2	0.02321864352599038
3	0.014396174225542421
4	0.011272734854434382
5	0.010357417504381985
6	0.009855371900826446
7	0.009461891643709825
8	0.010596603280592249
9	0.009772111310455396
10	0.009786793240464447
11	0.009574550227781638
12	0.009381288868041581
13	0.00946403666068938
14	0.009240176133727783
15	0.009056667330158778
16	0.00906843789333212
17	0.008730146690735881
18	0.008660460129416117
19	0.009190924722674498
20	0.009114881034036001
21	0.008464639893492288
22	0.008690600851480153
23	0.009066446503378895
24	0.008980125321954408
25	0.009279840828190819
